Date/Time,Temp_C,Dew Point Temp_C,Rel Hum_%,Wind Speed_km/h,Visibility_km,Press_kPa,Weather
12/1/2012 0:00,-10.8,-16.2,64,9,25,103.26,Clear
12/1/2012 1:00,-11,-16.5,64,13,25,103.25,Mainly Clear
12/1/2012 2:00,-11.1,-16.5,64,20,25,103.21,Mainly Clear
12/1/2012 3:00,-12.5,-15.7,77,15,25,103.27,Mainly Clear
12/1/2012 4:00,-11.8,-15.1,76,17,25,103.22,Mostly Cloudy
12/1/2012 5:00,-11.9,-14.6,80,20,25,103.19,Mostly Cloudy
12/1/2012 6:00,-11.8,-15,77,26,25,103.18,Mostly Cloudy
12/1/2012 7:00,-11.3,-14.2,79,24,24.1,103.19,Cloudy
12/1/2012 8:00,-10.9,-15.3,70,19,24.1,103.23,Mostly Cloudy
12/1/2012 9:00,-10.6,-15.9,65,24,24.1,103.18,Cloudy
12/1/2012 10:00,-10.9,-15.7,68,24,24.1,103.18,Cloudy
12/1/2012 11:00,-10.3,-15.1,68,20,24.1,103.08,Cloudy
12/1/2012 12:00,-9.4,-14.6,66,24,24.1,102.97,Cloudy
12/1/2012 13:00,-8.9,-14.6,63,22,24.1,102.9,Cloudy
12/1/2012 14:00,-8.3,-13.6,66,22,24.1,102.86,Cloudy
12/1/2012 15:00,-8.3,-13.5,66,17,24.1,102.84,Cloudy
12/1/2012 16:00,-7.9,-12.4,70,20,24.1,102.82,Cloudy
12/1/2012 17:00,-7.5,-12,70,20,19.3,102.73,Snow
12/1/2012 18:00,-6.9,-11.3,71,19,25,102.71,Snow
12/1/2012 19:00,-6.6,-10.8,72,17,25,102.63,Cloudy
12/1/2012 20:00,-6,-10,73,17,25,102.55,Cloudy
12/1/2012 21:00,-5.9,-9.6,75,17,25,102.49,Cloudy
12/1/2012 22:00,-4.8,-8.4,76,13,19.3,102.36,Snow
12/1/2012 23:00,-4.7,-8,78,19,16.1,102.28,Cloudy
12/2/2012 0:00,-4.3,-7.3,80,15,24.1,102.18,Cloudy
12/2/2012 1:00,-4.2,-6.8,82,15,24.1,102.11,Cloudy
12/2/2012 2:00,-3.9,-6.5,82,15,25,102.06,Cloudy
12/2/2012 3:00,-3.5,-5.8,84,13,25,102.02,Snow
12/2/2012 4:00,-3.2,-5.3,85,13,25,101.86,Cloudy
12/2/2012 5:00,-2.7,-5.1,84,11,25,101.75,Cloudy
12/2/2012 6:00,-1.9,-4,86,9,25,101.67,Cloudy
12/2/2012 7:00,-0.3,-2.3,86,6,25,101.58,Cloudy
12/2/2012 8:00,4.7,2.4,85,28,25,101.46,Cloudy
12/2/2012 9:00,5.1,2.6,84,32,24.1,101.34,Cloudy
12/2/2012 10:00,5.7,3,83,28,19.3,101.27,Cloudy
12/2/2012 11:00,6.2,3.2,81,28,24.1,101.16,Cloudy
12/2/2012 12:00,6.6,3.3,79,28,24.1,101,Rain Showers
12/2/2012 13:00,6.2,4.3,88,19,12.9,100.89,Rain
"12/2/2012 14:00,6,4.5,90,19,9.7,100.82,""Rain,Fog"""
"12/2/2012 15:00,5.6,4.9,95,22,4.8,100.75,""Rain,Fog"""
"12/2/2012 16:00,5.5,4.9,96,20,6.4,100.68,""Rain,Fog"""
"12/2/2012 17:00,5.5,5,97,17,6.4,100.65,""Rain,Fog"""
"12/2/2012 18:00,5.8,5.6,99,15,4.8,100.65,""Rain,Fog"""
"12/2/2012 19:00,5.9,5.9,100,15,3.6,100.67,""Drizzle,Fog"""
"12/2/2012 20:00,6.6,6.5,99,13,3.2,100.68,""Drizzle,Fog"""
12/2/2012 21:00,6.7,6.6,99,11,8,100.7,Fog
"12/2/2012 22:00,7.1,6.9,99,15,8,100.71,""Drizzle,Fog"""
"12/2/2012 23:00,8.2,7.7,97,19,8,100.72,""Drizzle,Fog"""
"12/3/2012 0:00,8.1,7.5,96,15,9.7,100.78,""Drizzle,Fog"""
12/3/2012 1:00,7.8,6.8,93,22,12.9,100.85,Cloudy
12/3/2012 2:00,6.8,5.3,90,28,25,100.99,Mostly Cloudy
12/3/2012 3:00,5.5,2.9,83,26,25,101.22,Mostly Cloudy
12/3/2012 4:00,4.1,1.6,84,13,25,101.35,Mostly Cloudy
12/3/2012 5:00,3.2,0.6,83,13,25,101.48,Mostly Cloudy
12/3/2012 6:00,1.8,-0.1,87,11,25,101.58,Clear
12/3/2012 7:00,1.2,-0.6,88,9,25,101.7,Mainly Clear
12/3/2012 8:00,2.2,0,85,11,24.1,101.78,Mainly Clear
12/3/2012 9:00,3.6,1,83,11,48.3,101.87,Mostly Cloudy
12/3/2012 10:00,3.9,1.2,83,13,24.1,101.99,Mostly Cloudy
12/3/2012 11:00,3.7,1.1,83,11,24.1,101.96,Cloudy
